,Title,Questions,answers
0,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,Why is it a good practice to obtain multiple bids for the installation of a solar PV system?,It is a good practice to obtain multiple bids for the installation of a solar PV system to ensure that consumers get the best deal and that all bids are made on the same basis.
1,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What should consumers do to ensure that all bids received are made on the same basis?,Consumers should take steps to ensure that all bids received are made on the same basis by comparing bids that have the same specifications and requirements.
2,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,Why is comparing a bid for a ground-mounted solar PV system against a bid for a rooftop system like comparing apples to oranges?,Comparing a bid for a ground-mounted solar PV system against a bid for a rooftop system is like comparing apples to oranges because they have different specifications and requirements.
3,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What should bids for a solar PV system clearly state?,"Bids for a solar PV system should clearly state the maximum generating capacity of the system, measured in watts peak (Wp) or kilowatts peak (kWp)."
4,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What is the ideal way to specify the system capacity in bids for a solar PV system?,The ideal way to specify the system capacity in bids for a solar PV system is to specify the output of the system at the inverter or in AC watts.
5,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What components should be included in bids for a solar PV system?,"Bids for a solar PV system should include the total cost of getting the solar PV system components, including hardware, software, supporting structure, meter, installation, connection to the grid (if applicable), permitting, goods and services tax, warranty, and future maintenance cost (if applicable)."
6,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,Why is it important to include the total cost of getting the solar PV system components in bids?,It is important to include the total cost of getting the solar PV system components in bids to ensure that consumers have a clear understanding of the total cost of the system and can make an informed decision.
7,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What is the importance of including the warranty and future maintenance cost in bids for a solar PV system?,Including the warranty and future maintenance cost in bids for a solar PV system is important because it helps consumers understand the long-term costs and benefits of the system.
8,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What is the role of permitting in bids for a solar PV system?,Permitting is an important component of bids for a solar PV system because it ensures that the system is installed in compliance with local regulations and codes.
9,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,What is the benefit of obtaining multiple bids for the installation of a solar PV system?,"Obtaining multiple bids for the installation of a solar PV system can help consumers get the best deal and ensure that all bids are made on the same basis, leading to a more informed decision."
10,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,Why is experience in installing grid-connected solar PV systems important?,"Because some elements of the installation process, particularly interconnection with the grid, are unique to these systems."
11,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What does a contractor with years of experience demonstrate?,"An ability to work with consumers, and price their products and services competitively."
12,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What is an important qualification for a solar PV contractor to have?,Being an LEW (Licensed Electrical Worker).
13,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What are some unique elements of the installation process for grid-connected solar PV systems?,Interconnection with the grid.
14,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What does a contractor with years of experience demonstrate in terms of pricing?,The ability to price their products and services competitively.
15,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What is an LEW?,A Licensed Electrical Worker.
16,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,Why is it important to get a contractor who is an LEW?,Because they have the necessary qualifications to work on electrical systems.
17,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What is the benefit of hiring a contractor with experience in installing grid-connected solar PV systems?,They have knowledge of the unique elements of the installation process for these systems.
18,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What is the importance of a contractor's ability to work with consumers?,It ensures that the consumer's needs and preferences are taken into account during the installation process.
19,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,What is the benefit of a contractor who can price their products and services competitively?,It can save the consumer money on their solar PV system installation.
20,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What is the first step in finding a solar PV system contractor?,Compiling a list of potential contractors.
21,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you do after compiling a list of potential contractors?,Contact the contractors to find out the products and services they offer.
22,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What can the products and services offered by a contractor tell you?,They can give you a good sense of the contractor's capabilities.
23,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,Why is it important to know a contractor's capabilities?,To ensure they can meet your specific needs and requirements.
24,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What are some factors to consider when choosing a solar PV system contractor?,"Experience, reputation, pricing, and customer service."
25,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you ask a contractor about their experience?,Their experience with similar projects and their certifications and qualifications.
26,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you ask a contractor about their reputation?,For references and reviews from previous customers.
27,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you ask a contractor about their pricing?,For a detailed breakdown of costs and any potential additional fees.
28,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you ask a contractor about their customer service?,Their communication and responsiveness throughout the project.
29,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,What should you do before signing a contract with a solar PV system contractor?,"Read and understand the contract thoroughly, and ask any questions or address any concerns before signing."
30,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What is the issue with buying an identical PV module to replace a defective one in your PV array a few years after installation?,"PV module manufacturers are constantly upgrading their products, and adapting new sizes and dimensions to suit market requirements. Newer PV modules are likely to be more efficient or have different physical dimensions, and may no longer fit exactly into the gap left by the old PV module."
31,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,"Does it matter much on a large, ground-mounted solar PV power plant if you can't buy an identical PV module to replace a defective one?","No, it does not matter much on a large, ground-mounted solar PV power plant, because the new modules can form a new row."
32,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What are the potential problems of not being able to buy an identical PV module to replace a defective one on a building-mounted solar PV system?,"It may spoil the aesthetics, and may cause problems to the electrical configuration."
33,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,Why do PV module manufacturers constantly upgrade their products?,To suit market requirements and make their products more efficient.
34,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What are some of the changes that may be made to PV modules over time?,"New sizes and dimensions, increased efficiency, and other improvements."
35,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,"What is the difference between a large, ground-mounted solar PV power plant and a building-mounted solar PV system?","A large, ground-mounted solar PV power plant is typically installed on open land, while a building-mounted solar PV system is installed on a building's roof or walls."
36,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,Why might it be important for a building-mounted solar PV system to maintain its aesthetics?,Because the appearance of the system can affect the building's overall appearance and value.
37,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What is the electrical configuration of a solar PV system?,"The way in which the PV modules are connected to each other and to the inverter, which converts the DC power generated by the modules into AC power that can be used by the building or fed back into the grid."
38,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What is the purpose of a solar PV system?,"To generate electricity from sunlight, which can be used to power a building or fed back into the grid."
39,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,What are some of the benefits of using a solar PV system?,"Reduced electricity bills, reduced carbon footprint, and increased energy independence."
40,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is the defect liability period for solar PV systems?,The defect liability period for solar PV systems is usually for 12 months after installation.
41,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What do solar PV system contractors use remote monitoring data for?,Solar PV system contractors usually use remote monitoring data to prepare monthly performance reports of the installed solar PV system.
42,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What should solar PV system contractors do if problems are flagged by the remote monitoring service?,Solar PV system contractors should come on site to rectify any problems flagged by the remote monitoring service.
43,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,How often do solar PV system contractors prepare performance reports?,Solar PV system contractors usually prepare monthly performance reports of the installed solar PV system.
44,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is the purpose of the defect liability period?,The purpose of the defect liability period is to ensure that any defects or issues with the solar PV system are identified and rectified within a specified period of time after installation.
45,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is remote monitoring?,Remote monitoring is the process of monitoring the performance of a solar PV system from a remote location using data transmitted from the system.
46,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is the role of solar PV system contractors during the defect liability period?,"During the defect liability period, solar PV system contractors are responsible for rectifying any defects or issues with the installed system."
47,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What happens if defects or issues are not rectified during the defect liability period?,"If defects or issues are not rectified during the defect liability period, the contractor may be liable for any damages or losses incurred as a result."
48,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is the benefit of remote monitoring for solar PV systems?,"Remote monitoring allows for the early detection of any issues or defects with the solar PV system, which can help to prevent more serious problems from occurring."
49,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,What is the main goal of solar PV system contractors during the defect liability period?,The main goal of solar PV system contractors during the defect liability period is to ensure that the installed system is functioning properly and any defects or issues are identified and rectified in a timely manner.
50,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What is the industry standard for a PV module warranty?,The industry standard for a PV module warranty is 20-25 years on the power output.
51,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What are the two main components of a PV module warranty?,The two main components of a PV module warranty are a workmanship warranty and a limited power output warranty.
52,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What does the workmanship warranty offer?,"The workmanship warranty offers to repair, replace or refund the purchase in case of defects."
53,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What is the typical period for a workmanship warranty?,"The period for a workmanship warranty varies from one to as long as ten years, depending on the manufacturer. Two to five years is typical."
54,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What does the limited power output warranty offer?,The limited power output warranty offers a variety of remedies in case the PV module’s output under STC drops below certain level.
55,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What is the minimum rated output?,The minimum rated output is usually defined as 95% of the rated output to allow for manufacturing and measurement tolerances.
56,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What is the typical warranty for at least 90% of the minimum rated output?,Most manufacturers warrant at least 90% of the minimum rated output for 10 years.
57,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What is the typical warranty for 80% of the minimum rated output?,Most manufacturers warrant 80% of the minimum rated output for 20-25 years.
58,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What remedies may the manufacturer offer under the limited power warranty?,"Under the limited power warranty, manufacturers may offer to repair the defective PV modules, supply enough new PV modules to replace the lost power output in a PV array, or refund you for the lost power output."
59,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,What costs are not covered by the warranty?,"The warranty does not cover your costs of dismounting, transporting, and reinstalling the PV modules. The warranty also excludes problems resulting from improper installations, repairs, changes or dismounting by unqualified personnel, accidental breakage or abuse, lightning strikes and other acts of God."
60,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,Where can I find a list of solar PV system companies in Singapore?,You can check with the Sustainable Energy Association of Singapore by calling 6338 8578 or visiting http://www.seas.org.sg/about-seas/our-committees/cleanenergy/54
61,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,Where can I find the Singapore Sustainable Development Industry Directory?,You can get it from the Singapore Business Federation by calling 6827 6838 or visiting http://www.sbf.org.sg/public/publications/industrydirectory.jsp
62,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,"Who will be responsible for the design, installation, testing, commissioning, and maintenance of my solar PV system?",Your contractor will appoint a Licensed Electrical Worker (LEW) who will be responsible for these tasks.
63,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is a Design LEW?,A Design LEW is the licensed electrical worker who supervises the electrical work for non-residential electrical installations that require an electrical installation licence.
64,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is an Installation LEW?,An Installation LEW is the licensed electrical worker who takes charge of your electrical installation for non-residential electrical installations that require an electrical installation licence.
65,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What happens if the Design LEW and Installation LEW have technical issues?,The Design LEW will have to work with the Installation LEW to work out the technical issues.
66,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is the role of the Sustainable Energy Association of Singapore?,The Sustainable Energy Association of Singapore provides a list of solar PV system companies in Singapore.
67,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is the role of the Singapore Business Federation?,The Singapore Business Federation provides the Singapore Sustainable Development Industry Directory.
68,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is the consultation process for engaging an LEW?,Refer to Appendix B for details on how to engage an LEW and the necessary consultation process.
69,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,What is the responsibility of the LEW?,"The LEW is responsible for the design, installation, testing, commissioning, and maintenance of your solar PV system."
70,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What is the most practical indicator of the performance of solar PV systems?,The most practical indicator of the performance of solar PV systems can be obtained from the remote monitoring and data logging software supplied by most inverter manufacturers.
71,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What does the data logging software record?,"The data logging software will record daily, monthly, and annual output for comparison of the actual system performance against the expected system performance."
72,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What is shown in Figure 20?,Figure 20 shows typical performance monitoring displays.
73,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,Do solar PV systems require a lot of maintenance?,"Solar PV systems require minimal maintenance, as they do not usually have moving parts."
74,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,Why is routine maintenance required for solar PV systems?,Routine maintenance is required to ensure the solar PV system will continue to perform properly.
75,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What should be included in an O&M manual for solar PV systems?,"The O&M manual should include basic system data, test and commissioning data, O&M data, and warranty information."
76,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,Who should provide the O&M manual for solar PV systems?,It is a good practice for contractors of solar PV systems to provide an O&M manual for the client.
77,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What is an O&M manual?,An O&M manual is an operation and maintenance manual.
78,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What is the purpose of an O&M manual?,The purpose of an O&M manual is to provide information on how to operate and maintain the solar PV system.
79,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,What is the warranty information included in an O&M manual?,The warranty information included in an O&M manual provides details on the warranty coverage and duration for the solar PV system.
80,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,How often should preventive inspection and maintenance works be carried out?,Every six to twelve months.
81,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be checked during routine visual inspection of PV modules?,"Signs of damage, dirt build-up, or shade encroachment."
82,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be checked for corrosion in a solar PV system?,Solar PV system fixtures.
83,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What can be remotely verified in an inverter's functionality?,Functionality.
84,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What can only be verified through on-site inspection in a solar PV system?,"The state of lightning surge arrestors, cable connections, and circuit breakers."
85,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be done if dust or debris is found on the surface of a PV module?,Wipe clean with water. Do not use any solvents.
86,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be done if physical damage is found on a PV module?,Recommend replacement of the module.
87,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,"What should be done if cable connections between PV modules, PV arrays, etc. are loose?",Retighten terminations.
88,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be done if cable conditions are necessary in a solar PV system?,Replace the cable.
89,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,What should be done if abnormal operating temperature is found in a PV inverter?,Recommend replacement.
90,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,Do I need to apply for an Electrical Installation Licence for the use or operation of the electrical installation within the premises of my building?,Your LEW will be able to advise you whether you need to apply to EMA for an Electrical Installation Licence.
91,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,Who will submit the licence application to EMA on my behalf if an Electrical Installation Licence is needed?,Your LEW will submit the licence application to EMA on your behalf.
92,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,Do I need to apply for a separate licence for the solar PV system within the same premises if I already have an Electrical Installation Licence issued by EMA?,"No, you need not apply for a separate licence for the solar PV system within the same premises."
93,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,What is the electrical licence fee payable to EMA?,The electrical licence fee payable to EMA is $100 per year (exclusive of goods and services tax).
94,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,Who can advise me on whether I need to apply for an Electrical Installation Licence?,Your LEW can advise you on whether you need to apply for an Electrical Installation Licence.
95,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,What is the role of my LEW in the application process for an Electrical Installation Licence?,Your LEW will submit the licence application to EMA on your behalf if an Electrical Installation Licence is needed.
96,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,Is the electrical licence fee inclusive of goods and services tax?,"No, the electrical licence fee payable to EMA is exclusive of goods and services tax."
97,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,What is the purpose of an Electrical Installation Licence?,An Electrical Installation Licence is required to ensure that electrical installations are safe and comply with relevant regulations.
98,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,What is EMA?,"EMA stands for Energy Market Authority, which is the regulatory body for the electricity and gas industries in Singapore."
99,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,What is a solar PV system?,A solar PV system is a system that converts sunlight into electricity using photovoltaic cells.
100,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,Why would a solar PV system need to be interconnected with the power grid?,"If the system is designed to meet only a fraction of the electricity load, it will need to be interconnected with the power grid to meet the remainder of the consumer’s needs for electricity."
101,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,Why is interconnection key to the safety of consumers and electrical workers?,"Interconnection is key to the safety of both consumers and electrical workers because it ensures that the system is properly installed and maintained, and that it meets all safety standards."
102,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What is the importance of interconnection to the protection of equipment?,"Interconnection is important to the protection of equipment because it ensures that the system is properly designed and installed, and that it meets all safety and performance standards."
103,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What are the benefits of a solar PV system?,"Solar PV systems can help reduce electricity bills, reduce carbon emissions, and increase energy independence."
104,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What are the components of a solar PV system?,"A solar PV system typically includes solar panels, an inverter, a battery (optional), and a monitoring system."
105,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What is the role of an inverter in a solar PV system?,The inverter converts the DC electricity generated by the solar panels into AC electricity that can be used by household appliances and the power grid.
106,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What is the role of a battery in a solar PV system?,A battery can store excess electricity generated by the solar panels for use during periods of low sunlight or high electricity demand.
107,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What is net metering?,Net metering is a billing arrangement that allows solar PV system owners to receive credit for excess electricity they generate and feed back into the power grid.
108,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What are the challenges of installing a solar PV system?,"The challenges of installing a solar PV system include finding a suitable location, obtaining permits and approvals, and ensuring proper installation and maintenance."
109,Solar PV System Installation Requirements | Connection to the Power Grid | No subheader2 | ,What is the lifespan of a solar PV system?,"The lifespan of a solar PV system is typically 25-30 years, but can vary depending on factors such as climate, maintenance, and usage."
110,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Is there any specific requirement or control by URA on the use of solar PV system?,"No, there is no specific requirement or control by URA on the use of installations such as a solar PV system."
111,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Which projects are subject to URA's Urban Design evaluation process?,Conservation projects or projects within the Central Area are subject to URA's Urban Design evaluation process.
112,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Do standard development control guidelines apply to all projects?,"Standard development control guidelines apply to projects that may not be subject to conservation or urban design requirements, depending on which structure(s) the solar PV system is installed onto."
