,Title,Summary
0,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,"The content provides guidance on obtaining multiple bids for the installation of a solar PV system. It suggests comparing bids that are made on the same basis and clearly state the maximum generating capacity of the system measured in watts peak (Wp) or kilowatts peak (kWp). The bids should also include the total cost of getting the solar PV system components, including hardware, software, supporting structure, meter, installation, connection to the grid (if applicable), permitting, goods and services tax, warranty, and future maintenance cost (if applicable)."
1,Appointing a Solar PV System Contractor | Getting Started | Get an experienced and licensed contractor | ,"The lines related to solar energy or solar panels are: ""Experience in installing grid-connected solar PV systems is invaluable"", ""interconnection with the grid, are unique to these systems"", and ""price their products and services competitively""."
2,Appointing a Solar PV System Contractor | Getting Started | No subheader2 | ,The content does not provide any specific lines related to solar energy or solar panels. It only provides a general instruction to compile a list of potential solar PV system contractors and contact them to find out their products and services.
3,Appointing a Solar PV System Contractor | Getting Started | Other relevant matters | ,"PV module manufacturers are constantly upgrading their products to suit market requirements, which may result in newer, more efficient or differently sized modules. This may cause problems for building-mounted solar PV systems, as it may spoil aesthetics and cause issues with electrical configuration."
4,Appointing a Solar PV System Contractor | Getting Started | Regular maintenance | ,"The lines related to solar energy or solar panels are: ""solar PV system contractors"", ""installed solar PV system"", and ""monthly performance reports"". The defect liability period is usually for 12 months after installation. The contractors use remote monitoring data to prepare monthly performance reports of the installed solar PV system."
5,Appointing a Solar PV System Contractor | Getting Started | Solar PV system warranty | ,"A solar PV system typically lasts two to three decades and has a module warranty of 20-25 years on power output. The warranty includes a workmanship warranty and a limited power output warranty, with most manufacturers warranting at least 90% of the minimum rated output for 10 years and 80% for 20-25 years. The minimum rated output is usually defined as 95% of the rated output to allow for manufacturing and measurement tolerances. The manufacturer may repair defective PV modules, supply new ones to replace lost power output, or refund the lost power output after deduction according to the number of years in use. The warranty excludes problems resulting from improper installations, repairs, changes, or dismounting by unqualified personnel, accidental breakage or abuse, lightning strikes, and other acts of God."
6,Appointing a Solar PV System Contractor | Introduction | No subheader2 | ,"The content provides information on selecting a contractor to install a solar PV system. The Sustainable Energy Association of Singapore and the Singapore Business Federation provide a list of solar PV system companies. The contractor will appoint a Licensed Electrical Worker (LEW) who will be responsible for the design, installation, testing, commissioning, and maintenance of the solar PV system. Appendix B provides details on how to engage an LEW and the necessary consultation process. No key statistics or figures are provided."
7,Operations and Maintenance | Operations of Solar PV Systems | No subheader2 | ,"The data logging software provided by most inverter manufacturers is the most practical indicator of solar PV system performance. It records daily, monthly, and annual output for comparison against expected performance. Solar PV systems require minimal maintenance and contractors should provide an operation and maintenance manual for clients, including basic system data, test and commissioning data, O&M data, and warranty information."
8,Operations and Maintenance | Recommended Preventive Maintenance Works | No subheader2 | ,"The content recommends preventive inspection and maintenance works for solar PV systems every six to twelve months. PV modules require routine visual inspection for signs of damage, dirt build-up, or shade encroachment. The following table shows recommendations for maintenance works on PV modules, including checking for dust/debris and physical damage, and tightening cable connections."
9,Solar PV System Installation Requirements | Application of Electrical Installation Licence | No subheader2 | ,"If you already have an Electrical Installation Licence issued by EMA, you need not apply for a separate licence for the solar PV system within the same premises. The electrical licence fee payable to EMA is $100 per year (exclusive of goods and services tax)."
