Chapter,Subheader1,Subheader2,Text
Appointing a Solar PV System Contractor,Getting Started,Choosing between bids,"If there are several bids for the installation of a solar PV system (it is generally a good  practice  to  obtain  multiple  bids),  consumers  should  take  steps  to  ensure  that  all  of  the bids received are made on the same basis. Comparing a bid for a solar PV system  mounted on the ground against another bid for a rooftop system is like comparing apples to oranges. Bids  should  clearly  state  the  maximum  generating  capacity  of  the  solar  PV  system  [measured in watts peak (Wp) or kilowatts peak (kWp)]. If possible, the bids should  specify the system capacity in AC watts, or specify the output of the system at the  inverter.  Bids should also include the total cost of getting the solar PV system components,  including hardware, software, supporting structure, meter, installation, connection to the  grid (if applicable), permitting, goods and services tax, warranty, and future maintenance  cost (if applicable). "
Appointing a Solar PV System Contractor,Getting Started,Get an experienced and licensed contractor,"Experience in installing grid-connected solar PV systems is invaluable, because some  elements  of  the  installation  process,  particularly  interconnection  with  the  grid,  are  unique to these systems. A contractor with years of experience will also demonstrate  an ability to work with consumers, and price their products and services competitively. It is also important to get a contractor who is an LEW."
Appointing a Solar PV System Contractor,Getting Started,No subheader2,"First,  compile  a  list  of  potential  solar  PV  system  contractors.  Next,  contact  the  contractors to find out the products and services they offer. The following pointers may  give consumers a good sense of the contractor’s capabilities: "
Appointing a Solar PV System Contractor,Getting Started,Other relevant matters,"Another matter to be aware of is that PV module manufacturers are constantly upgrading  their products, and adapting new sizes and dimensions to suit market requirements.  This means that you may no longer be able to buy an identical PV module to replace a defective one in your PV array a few years after installation. Newer PV modules are  likely to be more efficient or have different physical dimensions, and may no longer fit  exactly into the gap left by the old PV module. This does not matter much on a large, ground-mounted solar PV power plant, because  the new modules can form a new row. But on a building-mounted solar PV system it  may spoil the aesthetics, and may cause problems to the electrical configuration. 20"
Appointing a Solar PV System Contractor,Getting Started,Regular maintenance,"During the defect liability period (usually for 12 months after installation), solar PV system  contractors usually use remote monitoring data to prepare monthly performance reports of the installed solar PV system. They should come on site to rectify any problems flagged by the remote monitoring service."
Appointing a Solar PV System Contractor,Getting Started,Solar PV system warranty,"A solar PV system is an investment that should last a long time, typically two to three  decades for grid-connected applications. The industry standard for a PV module warranty  is 20-25 years on the power output. There are two main components to a PV module warranty: •  A workmanship warranty that offers to repair, replace or refund the purchase  in  case  of  defects.  The  period  varies  from  one  to  as  long  as  ten  years,  depending on the manufacturer. Two to five years is typical; and  18 •  A limited power output warranty that offers a variety of remedies in case the  PV module’s output under STC drops below certain level. Most manufacturers  warrant at least 90% of the minimum rated output for 10 years, and 80% of  the minimum rated output for 20-25 years. Take note that the minimum rated  output is usually defined as 95% of the rated output to allow for manufacturing  and measurement tolerances. See Figure 18 for details. Take note that under the limited power warranty, manufacturers seldom offer to replace  the PV module itself. Rather, at their sole discretion, they may offer to: •  Repair the defective PV modules; •  Supply enough new PV modules to replace the lost power output in a PV  array. For example, if your 20kW PV array only produces 16.1kW under STC,  six years after installation, the manufacturer may opt to supply you with 1kW  of PV modules to make up for the shortfall; or •  Refund you for the lost power output, after deduction according to the number  of years in use. For a 25-year warranty, the annual deduction is normally 4%.  For example, if you find that your 20kW PV array only produces 16.1kW under  STC, six years after installation, the manufacturer may opt to reimburse your  purchase price minus 24% (6 years x 4%). In all cases, the manufacturer does not cover your costs of dismounting, transporting,  and reinstalling the PV modules. The warranty also excludes problems resulting from  improper  installations;  repairs,  changes  or  dismounting  by  unqualified  personnel;  accidental breakage or abuse; lightning strikes and other acts of God. 19 Significantly, most manufacturers specify that the PV module output will be determined  by the flash testers in their own premises, rather than by a third party. The  solar  PV  system  contractor  should  assist  in  determining  whether  a  PV  module  defect is covered by warranty, and should handle the situation with the manufacturer."
Appointing a Solar PV System Contractor,Introduction,No subheader2,"You will need to select a contractor to install your solar PV system.  If interested, you  may check with the following organisations for some solar PV system designers and  contractors:  •  The List of Solar PV System companies in Singapore, available from Sustainable  Energy Association of Singapore, by calling 6338 8578 or by visiting  http://www.seas.org.sg/about-seas/our-committees/cleanenergy/54 •  The Singapore Sustainable Development Industry Directory 2008/2009, available  from the Singapore Business Federation, by calling 6827 6838 or by visiting  http://www.sbf.org.sg/public/publications/industrydirectory.jsp Your contractor will appoint a Licensed Electrical Worker (“LEW”) who will be responsible  for the design, installation, testing, commissioning, and maintenance of your solar PV  system. In the case of non-residential electrical installations that require an electrical installation  licence, the appointed LEW who supervises the electrical work (“Design LEW”) may  not be the one who takes charge of your electrical installation (“Installation LEW”). The  Design LEW will then have to work with the Installation LEW to work out the technical  issues. Please refer to Appendix B for details on how you can engage an LEW and the necessary  consultation process. 17"
Operations and Maintenance,Operations of Solar PV Systems,No subheader2,"The most practical indicator of the performance of the solar PV systems can be obtained from  the  remote  monitoring  and  data  logging  software  supplied  by  most  inverter  manufacturers. The data logging software will record daily, monthly, and annual output for comparison of  the actual system performance against the expected system performance. See Figure  20 for typical performance monitoring displays. Solar PV systems require minimal maintenance, as they do not usually have moving  parts. However, routine maintenance is required to ensure the solar PV system will  continue to perform properly. It  is  a  good  practice  for  contractors  of  solar  PV  systems  to  provide  an  operation  &  maintenance (“O&M”) manual for the client. The manual should include basic system  data, test and commissioning data, O&M data, and warranty information. 29"
Operations and Maintenance,Recommended Preventive Maintenance Works,No subheader2,"It is recommended that preventive inspection and maintenance works are carried out  every six to twelve months. The PV modules require routine visual inspection for signs  of  damage,  dirt  build-up  or  shade  encroachment.  Solar  PV  system  fixtures  must  be  checked for corrosion. This is to ensure that the solar PV system is safely secured. While the inverter’s functionality can be remotely verified, only on-site inspection can  verify the state of lightning surge arrestors, cable connections, and circuit breakers. The  following  table  shows  some  recommendations  on  the  preventive  maintenance  works on the components and equipment, and the corresponding remedial actions to  be carried out by qualified personnel. S/n Components/equipment description Remedy/Action 1  PV modules  Check for dust/debris   Wipe clean. Do not on surface of   use any solvents PV module  other than water Check for physical   Recommend damage to any PV replacement module if found damaged Check for loose cable   Retighten terminations between   connection PV modules, PV  arrays, etc.  Check for cable   Replace cable if conditions necessary 2  PV inverter  Check functionality,   Recommend e.g. automatic replacement if disconnection upon functionality fails loss of grid power  supply Check ventilation   Clear dust and dirt condition  in ventilation system Check for loose   Tighten connection cable terminations Check for abnormal   Recommend operating temperature replacement"
Solar PV System Installation Requirements,Application of Electrical Installation Licence,No subheader2,"Your LEW will be able to advise you whether you need to apply to EMA for an Electrical  Installation  Licence  for  the  use  or  operation  of  the  electrical  installation  within  the  premises of your building. If an Electrical Installation Licence is needed, your LEW will submit the licence application  to EMA on your behalf. If you already have an Electrical Installation Licence issued by  EMA, you need not apply for a separate licence for the solar PV system within the same  premises. The electrical licence fee payable to EMA is $100 per year (exclusive of goods and  services tax). "
