URL,Title,Content
https://www.ema.gov.sg/media_release.aspx?news_sid=202305308zKsfodSaoXH,EMA: b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids',"b'Singapores Energy Market Authority and International Energy Agency (IEA) Collaborate to Enhance Capabilities in Regional Power Grids30 May 2023More than 160 participants are in Singapore for the Singapore-IEA Regional Training Programme on Seizing Opportunities with Regional Power Grids. This event marks the seventh instalment of the Singapore-IEA Regional Training Hub initiative. Taking place from 30 to 31 May 2023, the training programme brings together policy makers, regulators, utilities, and the industry to discuss the opportunities in advancing regional power grids.2 According to the Southeast Asia Energy Outlook 2022 by IEA, regional integration and multilateral power trading have the potential to enhance power systems flexibility and facilitate the integration of variable renewable resources. Regional power grids can also accelerate the development and financing of renewable energy projects, while delivering significant economic and social benefits to the region. Building on the Lao PDR-Thailand-Malaysia-Singapore Power Integration Project (LTMS-PIP) initiated on 23 June 2022, the region now strives to collaborate on projects that further the vision of the ASEAN Power Grid vision.3 The training programme provides a valuable platform to share best practices and cultivate expertise in cross-border electricity trading, including the development of subsea interconnectors to overcome the challenges posed by the regions archipelagic geography. The training programme features speakers from the IEA, United Nations Economic and Social Commission for the Asia Pacific (UN ESCAP), Keppel Electric and ASEAN Centre for Energy.4 Mr Ngiam Shih Chun, Chief Executive of EMA, said: Regional energy connectivity plays a vital role in facilitating decarbonisation, enhancing energy resilience, and improving the access to energy. By fostering the cross-border trade of clean energy, we can enhance the feasibility of renewable energy projects and accelerate progress towards realising the regions significant renewables potential. We thank the IEA for the fruitful partnership as well as other regional partners for continuing to bolster our collective capabilities in cross-border electricity trading.5 Dr Fatih Birol, Executive Director of IEA, added: Further integration of the national power systems across Southeast Asia needs to be treated as a key priority. It will allow for more of the regions rising electricity demand to be met by renewables in a cost-effective, reliable and sustainable manner. As such, the IEA is pleased to be partnering with Singapore to train government officials and industry representatives on how to fast-track regional power grid integration.6 Singapore and the IEA will next co-host the Singapore-IEA Ministerial Forum on 24 October 2023 at the 16th Singapore International Energy Week.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230518ZaswdTzoGOWe,"EMA: b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore'","b'Meranti Power To Build, Own and Operate Two New Open Cycle Gas Turbine Generating Units in Singapore19 May 2023To enhance Singapores power system\r\nreliability, Meranti Power  a wholly-owned subsidiary of the Energy Market\r\nAuthority (EMA)  has been commissioned to build, own and operate two 340\r\nmegawatts (MW) Open Cycle Gas Turbine (OCGT) units.Critical Role of Open Cycle Gas Turbines (OCGTs) in\r\nSingapores Power System2. Maintaining the balance between energy supply and demand in a power system is crucial for a stable and reliable supply of electricity for consumers. Any imbalance in the power system could result in supply disruption or in the worst-case scenario, a\r\npower system collapse. Causes of such imbalances on the supply side could include unexpected equipment failure in generating units, resulting in insufficient generation capacity in the system as well as unplanned outages.3. To prevent supply-side imbalances from occurring, Singapore has put in place various mechanisms to ensure sufficient generation capacity in the system. These include having online reserves and fast start generation capacity on standby in Singapore.4. Online reserves refer to spare capacity in Combined Cycle Gas Turbines (CCGTs) which are already generating electricity and can increase their output within minutes to make up for an imbalance. However, online reserves are limited by the amount of\r\nspare capacity available in the online CCGTs. On the other hand, fast start generation capacity is provided by offline OCGT\r\nunits that can be brought online quickly in less than 10 minutes to augment any shortfall in online generation capacity.5. As older generating units retire and electricity demand increases in the next few years, online reserves will correspondingly decrease. Hence, the role of fast start generation capacity in ensuring the security and reliability of our power system becomes increasingly critical.6. Singapores existing OCGTs are more than 30 years old and are due for replacement. As there is no commercial interest from the private sector to build new OCGTs, EMA has commissioned its subsidiary, Meranti Power, to build these two new OCGTs to replace retiring capacity and provide back-up capacity for future growth in electricity demand. The two new OCGT units will provide sufficient fast start generation capacity to meet Singapores needs.7. Meranti Power has appointed a consortium, comprising Jurong Engineering Limited and Mitsubishi Power Asia Pacific Pte. Ltd, for the turnkey development of the OCGTs. Meranti Power has also appointed AECOM Singapore Pte Ltd to support in the project management and implementation of the OCGTs.8. The OCGTs are expected to be operationally ready by June 2025. These OCGTs will use natural gas as their primary fuel but can use diesel as a backup fuel. The OCGTs will also be future ready. They will be able to take up to 30% hydrogen and, with the necessary enhancements, can harness up to 100% hydrogen in the future.9. Upcoming key milestones of the OCGTs include the installation of the gas turbines as well as the testing and commissioning to ensure that they meet the regulatory requirements and codes of practices that all generating units need to comply with today.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=202305107aXeqz24VjYa,EMA: b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety',"b'Residual Current Circuit Breakers Required in All Residential Premises Built Before 1985 for Greater Electrical Safety12 May 2023From 1 July 2023, all residential\r\npremises will be required to have a Residual Current Circuit Breaker (RCCB) installed,\r\nto enhance the electrical safety in all households. Homeowners will be\r\ngiven a grace period of two years from the effective date of the requirement to\r\ninstall an RCCB.2The RCCB is an electrical safety device that cuts off\r\nelectricity supply immediately upon the detection of current leakages that may\r\nlead to an electric shock. Current leakages are caused by ageing or exposed\r\nwires, faulty electrical appliances, and damaged insulation. Hence, the RCCB is\r\nan essential protective device to prevent electric shocks.3Since July 1985[1],\r\nall new electrical installations including those in new homes built have been required\r\nto have an RCCB installed. Over the years, most residential premises would have\r\nundergone renovations, and had their electrical circuits rewired and installed\r\nwith an RCCB in line with this requirement. However, there remains a small percentage\r\nof residential premises built before July 1985 which may be using their original\r\nelectrical circuits without an RCCB installed.HDB Flats4For HDB flats built before July 1985, the Energy\r\nMarket Authority (EMA) will be notifying homeowners to install an RCCB in their\r\nhome if it has not already been installed. To provide support to lower-income\r\nhouseholds, the Housing & Development Board (HDB) has\r\nbeen carrying out the installation of RCCB for homeowners of 1- and 2- room HDB\r\nsold flats completed in and\r\nbefore 1985, if they do not already have one. The cost of the RCCB\r\ninstallation and necessary rewiring works for these flats is fully funded by\r\nthe Government.5For 3-room\r\nand larger flat types completed\r\nin and before 1985 and which do not have an RCCB installed,\r\nHDB will be writing to these homeowners to share more information on the RCCB\r\nInstallation Assistance Programme. Under the assistance programme, the Government\r\nwill subsidise up to 95% of the cost of the RCCB installation and necessary\r\nrewiring works (more details on the cost-sharing\r\nratios are in Annex A).Private Residences6EMA will notify homeowners of private residential premises to check and\r\ninstall an RCCB in their home if they do not already have one. Homeowners can\r\nengage a Licensed Electrical Worker (LEW) atwww.go.gov.sg/rccb-lewfor\r\ninstallation works. For clarifications or assistance, please email\r\nema_enquiry@ema.gov.sg or call 6835 8000.Non-Compliances7All\r\nresidential premises (i.e. HDB flats and private residences) will be given a\r\ngrace period of two years from the effective date of the requirement, 1 July\r\n2023, to install a RCCB. The penalty for non-compliance is a fine of up to\r\n$5,000 under the Electricity (Electrical Installations) Regulations.8All homeowners are\r\nencouraged to test their RCCB regularly to ensure that it is in good working\r\ncondition. If they suspect their RCCB to be faulty, they should engage a LEW atwww.go.gov.sg/rccb-lewto conduct further checks, and have it replaced. More\r\ninformation on this can be found in Annex B.9For additional\r\ninformation, a set of Frequently Asked Questions and Answers on the requirement\r\nis at Annex C.Annex A: Cost-sharing\r\nRatios and Estimated Amounts Payable for HDB HomeownersAnnex B: Infographic on\r\nSteps to Test an RCCBAnnex C: Frequently Asked Questions on the RCCB Requirement[1] Prior to this, all homes (including HDB\r\nflats and private housing) were provided with fuses to protect against current\r\noverload in circuits and appliances.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230406EBbkCMB0oPGC,EMA: b'Centralised Process to Ensure Sufficient Generation Capacity',"b""Centralised Process to Ensure Sufficient Generation Capacity10 Apr 2023The Energy Market Authority (EMA) is seeking views and feedback from the public and industry on the proposed centralised process to facilitate and guide private investments in new generation capacity.Need for Centralised Process2. Over the past two decades, investments in new power generation technology and capacity have been driven by the commercial considerations of power generation companies (gencos), which may include factors such as their own business plans, outlook of electricity demand and price signals in the Singapore Wholesale Electricity Market (SWEM). While each genco makes rational decisions individually, this may not result in sufficient generation capacity to meet demand at the system level. The uncertainties brought about by the energy transition and concerns over potential stranding of assets may make long-term investment decisions in generation capacity even more challenging for private gencos.3. To ensure that we have sufficient generation capacity in the future, the Ministry of Trade and Industry (MTI) announced in October 2022 that EMA would be introducing a Centralised Process to coordinate the planting of new generation capacity.Proposed Framework4. Under the Centralised Process, EMA will continue to forecast: (i) electricity demand on a rolling 10-year basis; and (ii) the generation capacity available in the system. Should the projections show that there is insufficient generation capacity to meet system needs, EMA will conduct a Request-for-Proposal (RFP) for the private sector to build, own and operate the required new generation capacity. EMA will step in to build the required new generation capacity if there is no private sector interest to do so or the proposals submitted are assessed to be unsuitable.New Generation Capacity Required by 20285. EMA intends to launch the first RFP for new generation capacity required in 2028 in the second half of this year. Based on EMA's preliminary forecast, system peak demand in Singapore is projected to grow at a compounded annual growth rate of 4% - 6%, with demand reaching between 10.1 gigawatts (GW) and 11.7GW by 2028. Additional power generation capacity will therefore be needed by 2028. More details of the first RFP will be released in due course.6. Further details on the Centralised Process can be found at the EMA website (go.gov.sg/ema-consultation-centralised-process) and the REACH website (go.gov.sg/reach-centralised-process). We welcome views and feedback from the public and industry on the proposed Centralised Process. Interested parties who wish to submit their feedback can reach out to the points-of-contact indicated in the consultation paper. The consultation, which opens today, will close on Monday, 8 May 2023, 5pm.DownloadBack to Top"""
https://www.ema.gov.sg/media_release.aspx?news_sid=202303301XoMas3R0wdu,"EMA: b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation'","b'Board Changes at Energy Market Authority, JTC Corporation and Sentosa Development Corporation30 Mar 20231The\r\nMinistry of Trade and Industry (MTI) today announced board changes at the\r\nEnergy Market Authority (EMA), JTC Corporation (JTC), and Sentosa Development\r\nCorporation (SDC). These changes will take effect on 1 April 2023.Energy Market Authority (EMA)2MTI\r\nhas appointed two new Members and re-appointed five Members to the Board of\r\nEMA:Appointment\r\nof New Board MembersProfessor Dipti SrinivasanProfessor, Department of Electrical & Computer Engineering, National\r\n     University of Singapore (NUS)Adjunct Researcher, Solar Energy Research Institute Singapore (SERIS)Mr Abdul Wahab Bin Mohamed YusoffVice President, Asia Pacific & JapanDelineaRe-Appointment\r\nof Board MembersMr Ngiam Shih ChunChief ExecutiveEnergy Market AuthorityProfessor Chua Kee ChaingPresidentSingapore Institute of TechnologyMr Ngien Hoon PingGroup Chief Executive Officer and Executive DirectorSMRT Corporation LtdMr Tan Chuan Thye, Senior CounselPartnerRajah & Tann Singapore LLPMs Lim Pek SuatGroup Chief Financial OfficerPSA International Pte LtdJTC Corporation (JTC)3MTI\r\nhas appointed three new Members and re-appointed six Members to the Board of JTC:Appointment of New\r\nBoard MembersMs Rachel EngManaging\r\n     DirectorEng and Co.\r\n     LLCMs\r\n     Lee Ghim Ha JillNon-executive DirectorSchneider\r\n     Electric SE, PSA International Pte Ltd and 65 Equity Partners Pte LtdMr Bernard MenonDirector, U\r\n     AssociateNational\r\n     Trades Union CongressRe-appointment of Board\r\nMembersMr Tan Chong MengGroup Chief\r\n     Executive Officer, PSA International Pte LtdChairman, JTC\r\n     CorporationMr Tan Boon KhaiChief Executive OfficerJTC CorporationMr John LimFirst Deputy SecretaryMinistry of Social and Family\r\n     DevelopmentMr Mok Wei WeiManaging DirectorW Architects Pte LtdMr Wee Siew KimGroup Chief Executive Officer, NIPSEA GroupDirector, Representative Executive\r\n     Officer & Co-President, Nippon Paint Holdings Co., Ltd.Chairman, Jurong Port Pte LtdMs Jeanette WongNon-executive DirectorPrudential plc, UBS Group AG, Singapore\r\n     Airlines Ltd and PSA International Pte LtdSentosa Development Corporation (SDC)4MTI\r\nhas appointed one new Member and re-appointed six Members to the Board of SDC:Appointment of New\r\nBoard MemberMr Ron Tan Aik TiExecutive\r\n     Chairman and Group CEONEON GroupRe-appointment of Board MembersMr Bob Tan Beng HaiChairmanSentosa\r\n     Development CorporationCapitaLand\r\n     Ascott Business Trust Management Pte. Ltd.CapitaLand\r\n     Ascott Trust Management LimitedJurong\r\n     Engineering LimitedSBS Transit\r\n     Ltd\r\n     SBSTransit\r\n     Rail Pte. Ltd.Ms Thien Kwee EngChief Executive\r\n     OfficerSentosa\r\n     Development CorporationMr Andrew Lim Ming-HuiPartnerAllen &\r\n     Gledhill LLPMs Ang Shih-HueiCo-founder\r\n     and CEOKlareco\r\n     Communications Pte LtdMs Low Jun Ya GeraldineDeputy\r\n     Secretary (Planning)Ministry of\r\n     National DevelopmentMr Benjamin Stewart KingCountry\r\n     Managing DirectorGoogle Asia\r\n     Pacific Pte LtdIn Appreciation5The\r\nfollowing Board Members will be stepping down upon the completion of their term.Energy Market Authority (EMA)Professor Liew Ah ChoyChief Executive Officer, EquiVolt Pte LtdEmeritus Professor, Department of Electrical & Computer Engineering, National University of SingaporeJTC Corporation (JTC)Ms\r\n     Kwa Kim LiManaging PartnerLee & Lee Advocates & SolicitorsMr\r\n     Vincent ChongGroup President & Chief Executive OfficerST Engineering LtdMr\r\n     Zainal Bin SapariAssistant Director  GeneralNational Trades Union CongressSentosa Development Corporation\r\n(SDC)Ms\r\n     Ee Choo Lin (Mrs Diana Ee-Tan)Vice-Chairman, SHATEC Institutes Pte LtdDirector, Far East Orchard LimitedMr Eugene HoChief Strategy & Innovation Officer,\r\n     Deloitte SEA\r\n     RegionalManaging Director, Deloitte Consulting\r\n     SEA6MTI\r\nwould like to thank all the outgoing Board Members of EMA, JTC and SDC for\r\ntheir contributions.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230320zcO7kDQnlcv9,EMA: b'Discontinuation of the Temporary Electricity Contracting Support Scheme',"b'Discontinuation of the Temporary Electricity Contracting Support Scheme20 Mar 2023EMA will be discontinuing the Temporary Electricity Contracting Support Scheme (TRECS) from 1 May 2023.2.\tSince September 2021, the Energy Market Authority (EMA) has put in place various emergency measures to manage the impact of the global energy crisis. These include working with electricity retailers and generation companies (gencos) to help large consumers secure retail contracts through TRECS, which was introduced in December 2021. Under TRECS, EMA worked with gencos and electricity retailers to offer monthly fixed price plans or plans with a significant fixed price component for large consumers with an average monthly consumption of at least 4,000 kilowatt-hours (kWh).3.\tGlobal energy prices have been less volatile in recent months, and the emergency measures have stabilised our electricity markets. More longer-term retail contracts are now available to large consumers. EMA will therefore discontinue TRECS from 1 May 2023.4.\tConsumers who are on TRECS or Wholesale Electricity Prices (WEP) are strongly encouraged to consider entering into retail contracts for greater price certainty. This is to safeguard yourselves and/or your organisations against potential high and volatile WEP that could occur.Strengthening the Foundations of the Energy Market5.\tEMA will build on the lessons learnt from the recent energy crisis and introduce enhancements to strengthen the foundations of our energy market. These include previously announced steps to institutionalise crisis management measures such as the Standby LNG Facility (SLF) to safeguard energy security, directing gencos to generate electricity using gas from the SLF if there are potential shortages in energy supply, and requiring gencos to maintain sufficient fuel for power generation. EMA will also be introducing other enhancements such as tightening the regulatory requirements on electricity retailers to strengthen consumer protection and exploring ways to centrally aggregate gas procurement to obtain more secure and long-term contracts. These enhancements will be progressively rolled out in the coming months.6. EMA will continue to monitor the situation closely and take the necessary steps to ensure our energy markets continue to function properly.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230316xWTI36SCKjwW,EMA: b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia',"b'EMA Grants Conditional Approval for 1 Gigawatt (GW) of Electricity Imports from Cambodia16 Mar 2023The Energy Market Authority (EMA) has granted Conditional Approval to Keppel Energy Pte. Ltd. to import 1 gigawatt (GW) of electricity from Cambodia into Singapore. This is the first Conditional Approval for electricity imports to be awarded by EMA and it marks a significant milestone in Singapores ambition to import up to 4 GW of low-carbon electricity by 2035.2. Electricity imports through Regional Power Grids is one of the Switches that Singapore is tapping on to decarbonise its energy supply. In July 2022, EMA issued a Request for Proposal (RFP) to invite interested companies to submit proposals to import up to 4 GW of low-carbon electricity by 2035.3. The Conditional Approval recognises that the project is preliminarily assessed to be technically and commercially viable. It facilitates Keppel Energy in obtaining the necessary regulatory approvals and licences for its project. It builds on the Memorandum of Understanding (MOU) on Energy Cooperation between Cambodia and Singapore, signed in October 2022, that reaffirms both countries commitment to support and facilitate clean energy transition efforts and regional decarbonisation, including greater collaboration on cross-border electricity trading.4. Based on Keppel Energys proposal, the imported electricity will harness solar energy, hydropower, and potentially wind power, supported by battery energy storage systems (BESS) or pumped storage hydropower (PSH). It will be transmitted from Cambodia to Singapore via new subsea cables of more than 1,000 km. Keppel Energy will also explore ways to scale and hybridise imported electricity with renewable energy sources in Lao PDR.5. EMA may grant Conditional Approval to RFP participants whose projects have been preliminarily assessed as technically and commercially viable. Such approvals provide recognition to the projects and help facilitate the participants in conducting further studies and securing regulatory approvals from the source and transit countries. EMA may subsequently issue these participants Conditional Licences if their proposals meet the requirements set out in the Conditional Approval. Participants will have to further develop their proposals and meet EMAs conditions, including obtaining relevant regulatory approvals and making a Final Investment Decision, before being issued a full Importer Licence.6. Regional Power Grids can also accelerate renewable energy development in the region and facilitate economic growth, while diversifying energy sources away from fossil fuels.7. Today, Singapore and Indonesia also signed a Memorandum of Understanding (MOU) on Renewable Energy Cooperation. The MOU, together with the Conditional Approval for the import of electricity from Cambodia, mark a significant step forward in regional collaboration to enhance energy security, increase access to reliable, clean energy, as well as stimulate economic growth.8. These two developments are important steps towards the ASEAN Power Grid vision, following the successful implementation of the Lao PDR-Thailand-Malaysia-Singapore Power Integration Project in June last year.9. EMA will continue to review the other RFP proposals, with a view to granting more conditional approvals before the RFP closes in December 2023.Annex A: Information on the Singapore Energy TransitionAnnex B: How Does the Request-for-Proposal Process Work?DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230202XPxwAa8H2L7v,"EMA: b""Southeast Asia's largest energy storage system officially opens""","b'Southeast Asia\'s largest energy storage system officially opens02 Feb 2023Commissioned in six months, the Sembcorp Energy Storage System (ESS) is Southeast Asias largest ESS and is the fastest in the world of its size to be deployed.The utility-scale ESS will support active management of electricity supply and demand for grid stability.Singapore, February 2, 2023  Sembcorp Industries (Sembcorp) and the Energy Market Authority (EMA) today officially opened the Sembcorp Energy Storage System (ESS). The Sembcorp ESS is Southeast Asias largest ESS and spans across two hectares of land in the Banyan and Sakra region on Jurong Island. Commissioned in six months[1], the facility started operations in December 2022 and is the fastest in the world of its size to be deployed[2].The event was officiated by Guest of Honour, Minister for Manpower and Second Minister for Trade and Industry Dr Tan See Leng; together with Chief Executive of EMA, Mr Ngiam Shih Chun, and CEO, Singapore & Southeast Asia of Sembcorp Industries, Mr Koh Chiap Khiong.The utility-scale ESS has a maximum storage capacity of 285 megawatt hour (MWh), and can meet the electricity needs of around 24,000 four-room HDB households[3]for one day, in a single discharge. Its rapid response time to store and supply power in milliseconds is essential in mitigating solar intermittency caused by changing weather conditions in Singapores tropical climate. It can also provide reserves to the power grid, which frees up power generation plants to generate more electricity to meet demand, when needed.Mr Ngiam Shih Chun, Chief Executive of the Energy Market Authority, said: Energy Storage Systems (ESS) such as the Sembcorp ESS will play a significant part in supporting Singapores transition towards cleaner energy sources. This large-scale ESS marks the achievement of Singapores 200MWh energy storage target ahead of time. It will complement our efforts to maximise solar adoption by storing and delivering energy given the intermittent nature of solar power. The ESS will also enhance our power grid stability and resilience by managing mismatches between electricity demand and supply.Mr Wong Kim Yin, Group President & CEO of Sembcorp Industries, said: ESS is rapidly growing in demand, to support power system reliability, especially for the integration of intermittent renewable energy. Sembcorp already operates one of the largest fleets of ESS in the UK. This 285MWh ESS is the largest in Southeast Asia. At 709MWh, Sembcorp is now one of Asias largest and fastest-growing ESS operators with strong technical capabilities.Fast response batteries to maintain grid reliabilityThe Sembcorp ESS is an integrated system comprising more than 800 large-scale battery units. It uses lithium iron phosphate batteries with high energy density, fast response time and high round-trip efficiency to maximise energy storage, making them suitable for maintaining grid stability. A central control system manages the batteries charge and discharge cycles according to the grids supply and demand. The integrated system also includes the liquid cooling systems or built-in air conditioning systems to maintain optimal operating temperatures. Live monitoring through extensive use of intelligent sensors, security cameras and dashboards tracks the key performance indicators to ensure safe, reliable and optimal performance. Please refer to Annex A for details on technological features built into the ESS and Annex B for photos of the Sembcorp ESS.EMAs Accelerating Energy Storage for Singapore (ACCESS) programme facilitates ESS adoption in Singapore by promoting use cases and business models with industry partners and other government agencies. For more information, please visit:https://www.ema.gov.sg/Energy_Storage_Programme.aspx.- End -Annex A  Details of the Sembcorp ESS projectAnnex B  Photos of the Sembcorp ESS[1] ""Sembcorp Successfully Commissions Southeast Asias largest Energy Storage System"", December 23, 2022.[2] Based on independent assurance provider DNVs global database of 4,210 ESS projects totalling 32GWh and publicly available information as of January 5, 2023 for a comparable size utility-scale ESS (same or higher rating and same design).[3] Based on theaverage household electricity consumption of a 4-room HDB household in 2019.ABOUT SEMBCORP INDUSTRIES(Company registration: 199802418D)Sembcorp Industries (Sembcorp) is a leading energy and urban solutions provider, driven by its purpose to do good and play its part in building a sustainable future.Headquartered in Singapore, Sembcorp leverages its sector expertise and global track record to deliver innovative solutions that support the energy transition and sustainable development. By focusing on growing its Renewables and Integrated Urban Solutions businesses, it aims to transform its portfolio towards a greener future and be a leading provider of sustainable solutions.Sembcorp has a balanced energy portfolio of 16.4GW, with 9.5GW of gross renewable energy capacity comprising solar, wind and energy storage globally*. The company also has a proven track record of transforming raw land into sustainable urban developments, with a project portfolio spanning over 13,000 hectares across Asia.Sembcorp is listed on the main board of the Singapore Exchange. It is a constituent stock of the Straits Times Index and sustainability indices including the FTSE4Good Index and the iEdge SG ESG indices. For more information, please visitwww.sembcorp.com.* Figures stated include acquisitions pending completion. These transactions are expected to be completed in the first half of 2023.ABOUT THE ENERGY MARKET AUTHORITYThe Energy Market Authority (EMA) is a statutory board under the Singapore Ministry of Trade and Industry. Through our work, we seek to forge a progressive energy landscape for sustained growth. We aim to ensure a reliable and secure energy supply, promote effective competition in the energy market and develop a dynamic energy sector in Singapore. Visitwww.ema.gov.sgfor more information.DownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20230131ak0NdukyqXJ6,EMA: b'Proposed Changes to Strengthen Protection for Electricity Consumers',"b'Proposed Changes to Strengthen Protection for Electricity Consumers01 Feb 2023The Energy Market Authority (EMA) is seeking views and feedback from the public and industry on its proposed enhancements to the electricity retailer regulatory framework.2. The electricity retail market has been progressively liberalised since 2001 to provide consumers with a wider range of retail price plans. With the nationwide rollout of the Open Electricity Market (OEM) in 2018, all consumers, including households and small business consumers have had the option of buying electricity from retailers. Consumers have benefited from the competition.3. In October 2022, the Ministry of Trade and Industry (MTI) announced that EMA would introduce guardrails to strengthen the existing competitive market structure and ensure that Singapore is well-positioned to navigate the energy transition. This includes enhancing the regulatory requirements on electricity retailers to strengthen consumer protection and ensure that they are sufficiently resilient against market volatility.4. EMA will be launching a public consultation from 1 February 2023 to 3 March 2023 to seek comments and feedback on the proposed enhancements to the regulatory regime for electricity retailers.5. The proposed enhancements are intended to:a. Ensure electricity retailers are credible and have sufficient financial standing by requiring them to have a paid-up capital (PUC) or Tangible Net worth (TNW) of at least $1 million;b. Ensure electricity retailers are run by fit and proper individuals, EMA is proposing to require all retailers to seek approval to appoint Key Appointment Holders;c. Strengthen the resiliency of all retailers, in particular their ability to withstand market volatility, to safeguard the relative stability of the retail market. EMA is proposing to impose hedging requirements for all retailers; andd. Enhance consumer protection against premature termination of contracts by retailers, such as by requiring retailers that impose early termination charges on consumers to similarly compensate consumers in the event of early termination.6. Further details about the proposed enhancements can be found on the EMA website (https://go.gov.sg/ema-consultation-retailer-regulatory-framework) and the REACH website (https://go.gov.sg/feedback-electricityretailing). We welcome views on the proposals presented in the Public Consultation Document. Please submit feedback via email toema_mdsd_retail@ema.gov.sgby 3 March 2023, 5pm.Annex: Summary of Current Requirements and Proposed EnhancementsDownloadBack to Top'"
https://www.ema.gov.sg/media_release.aspx?news_sid=20221102QOnKsrSDQyid,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',"b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools03 Nov 2022The trial for a Solar Forecasting Model\r\nto anticipate solar intermittency and enhance Singapores power grid resilience\r\nhas been successfully completed.2Supported by the Energy Market\r\nAuthority (EMA) and the Meteorological Service Singapore (MSS) of the National\r\nEnvironment Agency (NEA), and developed by the Solar Energy Research Institute\r\nof Singapore (SERIS) at the National University of Singapore (NUS), the model completed\r\nits one-year trial at EMAs Power System Control Centre in September this year.\r\nFirst of its kind, the model is able to forecast Singapores island-wide solar\r\nirradiance[1]up to one hour ahead, with an average error rate[2]lower than 10%, one of the lowest for solar forecasting in the tropics.3Unlike power generation\r\nplants, solar power generation cannot be moderated according to energy demand.\r\nIts power generation is dependent on Singapores tropical weather conditions\r\nwhich fluctuate depending on environmental factors such as cloud cover, rain,\r\nand humidity. This can lead to imbalances between electricity demand and supply\r\noutput from solar photovoltaic (PV) systems.4The Model would allow\r\nEMA, as Singapores power system operator, to anticipate the solar power output\r\nahead of time and take pre-emptive actions to manage solar intermittency and\r\nbalance the power grid. This is another step towards maintaining grid\r\nreliability as we scale-up solar deployment in Singapore. It also allows the electricity market to procure\r\nadditional reserves or adjust the output of power generation plants and energy\r\nstorage systems to increase electricity supply ahead of time to meet demand.5 In tandem with the\r\nSingapore Green Plan 2030 and to advance Singapores energy transition,\r\nSingapore aims to deploy at least 2 gigawatt-peak (GWp) of solar capacity by\r\n2030. A reliable solar forecasting model to predict solar irradiance, will enhance\r\nSingapores grid resilience and flexibility while supporting the deployment of\r\nadditional solar capacity. This goes a long way in supporting our solar\r\nambition and enhancing the resilience of our power grid. said Mr Ngiam Shih\r\nChun, Chief Executive, EMA.6Dr Thomas Reindl, Deputy\r\nChief Executive Officer at SERIS, who led the project team said: Forecasting\r\nof solar irradiance is increasingly being required by Asian power grid\r\noperators from owners of large-scale solar power systems. Therefore, the developed\r\nmodel has strong potential to be scaled up and commercialised to support the\r\noperations of solar farms across the region.7Following the completion\r\nof the trial, EMA is upgrading its Energy Management System (EMS) to\r\nincorporate solar generation forecasts produced by the Solar Forecasting Model\r\nby 2023. These forecasts would also be provided to the Energy Market Company\r\n(EMC), Singapores wholesale electricity market operator, to be factored into\r\nthe market clearing process to ensure more accurate dispatch schedules for\r\npower generators to meet power system demand. For more details, please refer to\r\nEMCs information here:https://www.emcsg.com/f2165,162493/EMC371-EMA-CY.pdf.Annex A: Images of Solar Forecasting Model[1]The Solar Forecasting Model utilises data from real-time irradiance sensors installed on rooftops of buildings and electrical substations across Singapore. It also incorporates numerous dynamic solar forecasting techniques such as satellite imagery and machine learning algorithms. Combining outputs from MSS numerical weather prediction system, known as SINGV, the Solar Forecasting Model is able to aggregate the various types of data to generate round-the-clock solar irradiance forecasts at regular intervals from 5 minutes to 24 hours ahead of schedules.[2]The Solar Forecasting Model has a nRMSE (normalised root mean square error) of lower than 10% up to 1 hour ahead, on average.DownloadBack to Top'"
